Period,Oil_production,Oil_supply,Oil_price,Unemployment_rate,Trade_balance,Manufacturing_PMI,HMI,CPI,Employment_change,Mortgage_rate_15_years,Mortgage_rate_30_years,House_sold,House_price_index,Auto_sales,Auto_production,Gold_price,Money_stock_M1,Money_stock_M2,IPI,Effective_federal_fund_rate,Housing_starts,Consumer_sentiment,Inflation_rate,DJI,NYA,IXIC,GSPC
1/5/08,159453,368957.4,125.4,5.4,"-62,151",59.4,19,216.6,-185,5.6,6.036,504,210.38,794.4,301.2,888.66,1391.6,7677.6,103.4941,1.98,973,59.8,4.2,11350.00977,8660.480469,2292.97998,1280
1/6/08,154129,367346.2,133.88,5.6,"-60,670",56.6,18,218.8,-165,5.91,6.32,487,209.87,659.7,322,889.49,1399.2,7693.9,103.3216,2,1046,56.4,5,11378.01953,8438.639648,2325.550049,1267.380005
1/7/08,160512,363029.5,133.37,5.8,"-66,842",39.9,16,219.964,-209,5.972,6.426,477,207.77,618.8,281.4,939.77,1415.9,7738.9,102.7625,2.01,923,61.2,5.6,11543.95996,8382.080078,2367.52002,1282.829956
1/8/08,155184,367087.6,116.67,6.1,"-62,108",56.6,16,219.086,-266,6.025,6.4775,435,205.52,627.3,343,839.03,1405.4,7752.7,101.2245,2,844,63,5.4,10850.66016,7532.799805,2091.879883,1166.359985
1/9/08,119373,350425.3,104.11,6.1,"-60,499",50.7,17,218.783,-452,5.64,6.0375,433,202.94,478.4,346.9,829.93,1458.9,7821.3,96.8689,1.81,820,70.3,4.9,9325.009766,6061.089844,1720.949951,968.75
1/10/08,146893,367401,76.61,6.5,"-60,191",43.1,14,216.573,-473,5.892,6.2,393,200.57,427.1,366,806.62,1471.6,7929.6,97.7617,0.97,777,57.6,3.7,8829.040039,5599.299805,1535.569946,896.23999
1/11/08,152570,356401.8,57.31,6.8,"-44,724",49.6,9,212.425,-769,5.79,6.0875,389,196.31,357.1,238.2,760.86,1518.6,7988.8,96.5572,0.39,652,55.3,1.1,8776.389648,5757.049805,1577.030029,903.25
1/12/08,158478,361649.4,41.12,7.3,"-42,463",52.3,9,210.228,-695,5.038,5.286,377,194.62,418.7,206.7,816.09,1606.8,8166.6,93.7183,0.16,560,60.1,0.1,8000.859863,5195.790039,1476.420044,825.880005
1/1/09,159410,342062.7,41.71,7.8,"-37,842",50.4,8,211.143,-791,4.7175,5.0475,336,195.54,312.8,100.5,858.69,1588.2,8246.1,91.5058,0.15,490,61.2,0,7062.930176,4617.029785,1377.839966,735.090027
1/2/09,146808,355341.5,39.09,8.3,"-27,767",52.4,9,212.193,-703,4.7725,5.13,372,196.38,338.5,136.1,943,1569.9,8273.7,90.934,0.22,582,56.3,0.2,7608.919922,4978.97998,1528.589966,797.869995
1/3/09,161697,355900.8,47.94,8.7,"-29,162",49.2,9,212.709,-823,4.6375,5.0025,339,194.51,442,173.2,924.27,1579.3,8335.1,89.5012,0.18,505,57.3,-0.4,8168.120117,5513.359863,1717.300049,872.809998
1/4/09,158556,366179.9,49.65,9,"-29,705",56.1,14,213.24,-686,4.5,4.81,337,194.89,426.5,156,890.2,1610.8,8340.4,88.7058,0.15,478,65.1,-0.7,8500.330078,6004.069824,1774.329956,919.140015
1/5/09,166854,369845.6,59.03,9.4,"-25,372",57.4,16,213.856,-351,4.515,4.8575,376,196.03,480.7,143.7,928.65,1614.3,8395.6,87.7758,0.18,540,68.7,-1.3,8447,5905.149902,1835.040039,919.320007
1/6/09,158193,377793.5,69.64,9.5,"-26,367",55.1,15,215.693,-470,4.9025,5.42,393,196.84,452.5,160.2,945.67,1650.7,8404.1,87.4125,0.21,585,70.8,-1.4,9171.610352,6424.279785,1978.5,987.47998
1/7/09,167360,375451.2,64.15,9.5,"-32,790",52.1,17,215.351,-329,4.692,5.222,411,196.01,545.4,143.6,934.23,1656.4,8408,88.3209,0.16,594,66,-2.1,9496.280273,6643.240234,2009.060059,1020.619995
1/8/09,166547,371446.3,71.05,9.6,"-31,267",53.2,18,215.834,-212,4.6125,5.1925,418,195.22,715.7,220.2,949.38,1657.6,8407.3,89.2996,0.16,586,65.7,-1.5,9712.280273,6910.879883,2122.419922,1057.079956
1/9/09,166823,365338.3,69.41,9.8,"-34,491",52.4,19,215.969,-219,4.4925,5.0575,386,194.31,394,256.8,996.59,1661.7,8405.1,89.9908,0.15,585,73.5,-1.3,9712.730469,6739.450195,2045.109985,1036.189941
1/10/09,171042,360349.5,75.72,10,"-33,826",42.7,17,216.177,-200,4.39,4.952,396,194.32,420.9,279.7,"1,043.16",1675.2,8433.3,90.2527,0.12,534,70.6,-0.2,10344.83984,7092.359863,2144.600098,1095.630005
1/11/09,161585,352940.3,77.99,9.9,"-37,203",53.2,17,216.33,-7,4.3425,4.875,375,194.06,368.2,221.3,"1,127.04",1689.1,8474.2,90.6331,0.12,588,67.4,1.8,10428.04981,7184.959961,2269.149902,1115.099976
1/12/09,168984,360567.2,74.47,9.9,"-37,983",51.6,16,215.949,-279,4.392,4.93,352,190.65,504.2,204.3,"1,134.72",1698.5,8471,90.8895,0.12,581,72.5,2.7,10067.33008,6883.779785,2147.350098,1073.869995
1/1/10,167078,335329.3,78.33,9.8,"-37,154",53.6,15,216.687,28,4.435,5.03,345,189.81,356.2,216.6,"1,117.96",1680,8431.1,91.9065,0.11,614,74.4,2.6,10325.25977,7035.040039,2238.26001,1104.48999
1/2/10,155250,351848.4,76.39,9.8,"-41,034",51.8,17,216.741,-69,4.3675,4.99,336,189.32,393.1,232.1,"1,095.41",1702.1,8477.3,92.2135,0.13,604,73.6,2.1,10856.62988,7447.799805,2397.959961,1169.430054
1/3/10,170567,362671.7,81.2,9.9,"-39,766",51.5,15,217.631,163,4.33,4.9675,381,189.94,533.5,263.4,"1,113.34",1712,8471,92.8133,0.16,636,73.6,2.3,11008.61035,7474.399902,2461.189941,1186.689941
1/4/10,161430,371490.6,84.29,9.9,"-40,864",51.3,19,218.009,243,4.418,5.098,422,191.67,493.6,232.3,"1,148.69",1697.3,8502.2,93.1984,0.2,687,72.2,2.2,10136.62988,6791.569824,2257.040039,1089.410034
1/5/10,167024,372032.8,73.74,9.6,"-41,333",52.7,22,218.178,522,4.2775,4.8875,280,193.48,555.2,245.8,"1,205.43",1706.1,8554.6,94.6492,0.2,583,73.6,2,9774.019531,6469.649902,2109.23999,1030.709961
1/6/10,161325,379936,75.34,9.4,"-46,557",52.5,16,217.965,-133,4.175,4.7375,305,192.39,493.5,248.9,"1,232.92",1722.1,8572.7,94.8328,0.18,536,76,1.1,10465.94043,6998.990234,2254.699951,1101.599976
1/7/10,164196,380748.1,76.32,9.4,"-40,413",53.5,14,218.011,-70,4.04,4.564,283,190.99,515,173.4,"1,192.97",1719.2,8582.3,95.2539,0.18,546,67.8,1.2,10014.71973,6704.149902,2114.030029,1049.329956
1/8/10,168607,379138.6,76.6,9.5,"-44,921",52.6,13,218.312,-34,3.9075,4.4275,282,190.18,490.8,244.8,"1,215.81",1746,8632.8,95.6092,0.19,599,68.9,1.1,10788.04981,7281.069824,2368.620117,1141.199951
1/9/10,168233,369443.2,75.24,9.5,"-44,042",52.4,13,218.439,-52,3.81,4.346,317,187.61,463.2,238.4,"1,270.98",1764.5,8662.6,95.8794,0.19,594,68.2,1.1,11118.49023,7513.350098,2507.409912,1183.26001
1/10/10,174182,362063.8,81.89,9.4,"-39,998",41.3,15,218.711,257,3.66,4.225,291,187.33,436.4,239.7,"1,342.02",1778.7,8713,95.6362,0.19,543,67.7,1.2,11006.01953,7430.939941,2498.22998,1180.550049
1/11/10,166981,357911.7,84.25,9.8,"-37,762",51.4,16,218.803,123,3.6825,4.3,287,186.07,395.7,219.3,"1,369.89",1835.3,8742,95.7002,0.19,545,71.6,1.1,11577.50977,7964.02002,2652.870117,1257.640015
1/12/10,173579,359633.9,89.15,9.3,"-40,815",54.7,16,219.179,88,4.058,4.714,326,183.27,509.6,176.4,"1,390.55",1842.5,8775.2,96.4959,0.18,539,74.5,1.5,11891.92969,8139.160156,2700.080078,1286.119995
1/1/11,170115,333278.7,89.17,9.1,"-47,123",54.8,16,220.223,42,4.0875,4.755,307,181.35,380.3,195.4,"1,356.40",1858.4,8810.6,96.4283,0.17,630,74.2,1.6,12226.33984,8438.549805,2782.27002,1327.219971
1/2/11,151003,347283.1,88.58,9,"-43,718",53.2,16,221.309,188,4.215,4.9525,270,179.66,483,228.7,"1,372.73",1873.9,8852.1,96.0111,0.16,517,77.5,2.1,12319.73047,8404.980469,2781.070068,1325.829956
1/3/11,173763,352630.5,102.86,9,"-43,478",54.8,17,223.467,225,4.08,4.836,300,178.84,648.5,282.7,"1,424.00",1890.5,8895.6,96.8407,0.14,600,67.5,2.7,12810.54004,8671.410156,2873.540039,1363.609985
1/4/11,166440,353211.1,109.53,9.1,"-42,227",41.9,16,224.906,346,4.055,4.84,310,180.8,596,213.2,"1,479.76",1898,8958.3,96.4337,0.1,554,69.8,3.2,12569.79004,8477.280273,2835.300049,1345.199951
1/5/11,173880,353234.7,100.9,9,"-47,220",48.9,16,225.964,73,3.8225,4.6375,305,182.11,534.6,236.5,"1,512.60",1932.7,9008.6,96.6227,0.09,561,74.3,3.6,12414.33984,8319.099609,2773.52002,1320.640015
1/6/11,167264,363300.9,96.26,9.1,"-49,433",46.7,13,225.722,235,3.694,4.51,301,183.85,513.9,242.7,"1,528.66",1945.8,9092.7,96.8573,0.09,608,71.5,3.6,12143.24023,8079.439941,2756.379883,1292.280029
1/7/11,168226,359158.6,97.3,9,"-45,689",45.9,15,225.922,70,3.68,4.545,296,184.25,497.4,163.1,"1,572.21",1997.8,9281.2,97.3169,0.07,623,63.7,3.6,11613.53027,7528.390137,2579.459961,1218.890015
1/8/11,174883,370095.5,86.33,9,"-44,968",53.2,15,226.545,107,3.46,4.27,299,182.97,497.6,294.4,"1,757.21",2110.5,9494.6,97.7956,0.1,585,55.8,3.8,10913.37988,6791.649902,2415.399902,1131.420044
1/9/11,167058,359636.8,85.52,9,"-43,305",53.1,14,226.889,246,3.318,4.106,304,183.21,475,264,"1,770.95",2128.6,9518.6,97.7474,0.08,650,59.5,3.9,11955.00977,7563.379883,2684.409912,1253.300049
1/10/11,181710,355416,86.32,8.8,"-44,962",43.2,17,226.421,202,3.3475,4.0675,316,181.51,470.1,309.7,"1,665.21",2139.4,9551.5,98.4096,0.07,610,60.8,3.5,12045.67969,7484.5,2620.340088,1246.959961
1/11/11,179247,355103.6,97.16,8.6,"-47,044",52.5,19,226.23,146,3.305,3.9925,328,181.77,455.3,281.7,"1,738.11",2174.9,9596.9,98.281,0.08,711,63.7,3.4,12217.55957,7477.029785,2605.149902,1257.599976
1/12/11,187155,356700.6,98.56,8.5,"-49,460",53.2,21,225.672,207,3.246,3.958,341,181.03,541.3,264.7,"1,641.84",2169.8,9636.2,98.6739,0.07,694,69.9,3,12632.91016,7838.47998,2813.840088,1312.410034
1/1/12,190462,326206.9,100.27,8.3,"-50,983",57,25,226.655,338,3.2,3.915,335,179.13,460.5,320.4,"1,652.21",2205.3,9714.2,99.3787,0.08,723,75,2.9,12952.07031,8113.240234,2966.889893,1365.680054
1/2/12,180955,343471.6,102.2,8.3,"-43,570",50.6,28,227.663,257,3.1625,3.89,366,179.83,604,343.3,"1,742.14",2209.7,9749.8,99.6578,0.1,704,75.3,2.9,13212.04004,8206.929688,3091.570068,1408.469971
1/3/12,193843,344305.4,106.16,8.2,"-50,218",50.7,28,229.392,239,3.198,3.954,354,182.49,747.9,363.7,"1,673.77",2227.1,9798.1,98.9579,0.13,695,76.2,2.7,13213.62988,8119.060059,3046.360107,1397.910034
1/4/12,187385,346056,103.32,8.2,"-47,254",47.1,24,230.085,75,3.1425,3.91,354,185.29,614.7,339.7,"1,649.69",2244.1,9851.8,99.8396,0.14,753,76.4,2.3,12393.4502,7463.959961,2827.340088,1310.329956
1/5/12,195415,353967.2,94.66,8.2,"-45,970",48.1,28,229.815,115,3.034,3.798,370,188.26,677.3,370.9,"1,591.19",2249.8,9882.2,100.0042,0.16,708,79.3,1.7,12880.08984,7801.839844,2935.050049,1362.160034
1/6/12,187949,362301,82.3,8.2,"-43,460",48.8,29,229.478,87,2.9525,3.675,360,190.15,641.9,353.6,"1,598.76",2261.9,9952.7,100.0318,0.16,757,73.2,1.7,13008.67969,7863.930176,2939.52002,1379.319946
1/7/12,199032,353467,87.9,8.2,"-43,370",51.1,35,229.104,143,2.845,3.55,369,190.39,567.4,274.6,"1,589.90",2310.4,10027.7,100.3132,0.16,740,72.3,1.4,13090.83984,8014.930176,3066.959961,1406.579956
1/8/12,197240,360886.1,94.13,8.1,"-44,107",49.6,37,230.379,190,2.86,3.602,375,190.6,633.7,388.8,"1,630.31",2341.1,10100.4,99.8389,0.13,754,74.3,1.7,13437.12988,8251,3116.22998,1440.670044
1/9/12,196673,341115.6,94.51,7.8,"-40,064",60.5,40,231.407,181,2.8025,3.4975,385,190.44,585.2,331.8,"1,744.81",2388.2,10183.1,99.9599,0.14,847,78.3,2,13096.45996,8221.400391,2977.22998,1412.160034
1/10/12,215015,351417.5,89.49,7.8,"-43,041",43.5,41,231.317,132,2.6925,3.3825,358,190.84,530.9,410.8,"1,746.58",2419.3,10244.5,100.2146,0.16,915,82.6,2.2,13025.58008,8260.429688,3010.23999,1416.180054
1/11/12,210714,344150.9,86.53,7.7,"-46,667",49.9,45,230.221,149,2.662,3.352,392,191.13,551.6,351.1,"1,721.64",2426.5,10304.2,100.7651,0.16,833,82.7,1.8,13104.13965,8443.509766,3019.51001,1426.189941
1/12/12,219452,339377.3,87.86,7.9,"-38,070",55.7,47,229.601,243,2.6575,3.345,399,190.66,629.9,260.4,"1,684.76",2461.4,10428.7,101.0382,0.16,976,72.9,1.7,13860.58008,8894.709961,3142.129883,1498.109985
1/1/13,219175,332833.7,94.76,8,"-41,589",57.2,47,230.28,190,2.696,3.414,442,190.5,523.2,374.6,"1,671.85",2469.7,10453.3,100.9614,0.14,888,73.8,1.6,14054.49023,8868.719727,3160.189941,1514.680054
1/2/13,199592,341507.9,95.31,7.7,"-42,754",52.8,46,232.166,311,2.7675,3.5325,439,192.07,604.2,363,"1,627.57",2465.4,10439.3,101.4781,0.15,970,77.6,2,14578.54004,9107.040039,3267.52002,1569.189941
1/3/13,223109,345879.9,92.94,7.5,"-37,524",54.9,44,232.773,135,2.7575,3.565,449,195.67,739.7,385.2,"1,593.09",2473.3,10518.2,101.6302,0.14,999,78.6,1.5,14839.79981,9276.879883,3328.790039,1597.569946
1/4/13,221345,351699.1,92.02,7.6,"-39,764",55.8,41,232.531,192,2.66,3.445,451,198.43,639.1,394.8,"1,487.86",2508.2,10554.3,101.5825,0.15,826,76.4,1.1,15115.57031,9302.269531,3455.909912,1630.73999
1/5/13,226266,357563.7,94.51,7.5,"-43,864",54.9,44,232.945,218,2.722,3.536,430,202,710.2,397,"1,414.03",2522.2,10590.5,101.6016,0.11,920,84.5,1.4,14909.59961,9112.69043,3403.25,1606.280029
1/6/13,217915,359454.4,95.77,7.5,"-37,628",44.7,51,233.504,146,3.1675,4.07,463,204.54,687.2,369.4,"1,343.35",2519.6,10646.7,101.8221,0.09,852,84.1,1.8,15499.54004,9558.830078,3626.370117,1685.72998
1/7/13,231469,355964.6,104.67,7.3,"-39,764",51.9,56,233.596,140,3.43,4.37,376,205.77,638.1,250.3,"1,285.52",2541.3,10705.6,101.2443,0.09,891,85.1,2,14810.30957,9270.660156,3589.870117,1632.969971
1/8/13,233139,360621.2,106.57,7.3,"-39,960",53.8,58,233.877,269,3.488,4.456,380,205.64,734,390.5,"1,351.74",2550.2,10767.3,101.9928,0.08,898,82.1,1.5,15129.66992,9621.240234,3771.47998,1681.550049
1/9/13,232347,344753.3,106.29,7.3,"-42,430",54.7,57,234.149,185,3.5225,4.49,399,205.34,549.3,376.3,"1,348.60",2586.7,10820.4,102.4847,0.08,860,77.5,1.2,15545.75,10009.63965,3919.709961,1756.540039
1/10/13,239000,347905.1,100.54,7.2,"-39,904",60.6,54,233.546,189,3.274,4.192,444,205.44,563.8,428.7,"1,316.58",2624.9,10929.9,102.4287,0.09,921,73.2,1,16086.41016,10183.23047,4059.889893,1805.810059
1/11/13,236545,345431.1,93.86,6.9,"-35,764",49.7,54,233.069,291,3.2975,4.255,446,204.74,584.8,358.7,"1,275.86",2625,10937.3,102.7732,0.08,1104,75.1,1.2,16576.66016,10400.32031,4176.589844,1848.359985
1/12/13,245763,339797.8,97.63,6.7,"-37,449",54.5,57,233.049,45,3.4825,4.4575,441,204.51,612.6,280.4,"1,221.51",2660.3,10994.7,102.9513,0.09,1010,82.5,1.5,15698.84961,9967.650391,4103.879883,1782.589966
1/1/14,249009,322546.8,94.62,6.6,"-38,834",58.1,56,233.916,187,3.48,4.432,447,204.04,480,358.5,"1,244.27",2689.6,11043.4,102.4621,0.07,902,81.2,1.6,16321.70996,10425.86035,4308.120117,1859.449951
1/2/14,227546,334997.9,100.82,6.7,"-40,825",57.2,46,234.781,168,3.35,4.3025,423,205.23,562.5,360.8,"1,299.58",2714.2,11108.5,103.2919,0.07,948,81.6,1.1,16457.66016,10527.76953,4198.990234,1872.339966
1/3/14,256109,340445.2,100.8,6.7,"-40,855",46.7,46,236.293,272,3.36,4.3425,410,207.78,741.3,374.3,"1,336.08",2747.3,11163.1,104.0896,0.08,973,80,1.5,16580.83984,10627.16992,4114.560059,1883.949951
1/4/14,258148,346400,102.07,6.2,"-44,019",45.9,46,237.072,310,3.3925,4.3375,401,210,656.7,351.4,"1,298.45",2772.2,11221.9,104.2409,0.09,1038,84.1,2,16717.16992,10756.30957,4242.620117,1923.569946
1/5/14,266739,354700,102.18,6.2,"-41,075",46.2,45,237.9,213,3.29,4.192,452,212.54,775,344.9,"1,288.74",2791.9,11291.5,104.6541,0.09,987,81.9,2.1,16826.59961,10979.41992,4408.180176,1960.22998
1/6/14,261545,353345.7,105.79,6.1,"-40,740",45.5,49,238.343,306,3.265,4.1625,416,214.63,685.3,379.1,"1,279.10",2822.2,11345.1,105.1223,0.1,928,82.5,2.1,16563.30078,10726.42969,4369.77002,1930.670044
1/7/14,273253,356085.8,103.59,6.2,"-39,287",45.9,53,238.25,232,3.236,4.13,402,215.58,670.9,299.4,"1,310.59",2837.4,11412.4,105.2073,0.09,1085,81.8,2,17098.44922,11046.29004,4580.27002,2003.369995
1/8/14,275145,355024.7,96.54,6.2,"-38,441",53.1,55,237.852,218,3.2475,4.115,449,215.47,752.4,367.4,"1,295.13",2807.5,11448.7,105.1989,0.09,984,82.5,1.7,17042.90039,10702.92969,4493.390137,1972.290039
1/9/14,271404,345832.2,93.21,6,"-41,687",58.7,59,238.031,286,3.3075,4.1625,466,214.6,565.5,372.3,"1,236.55",2869.4,11485,105.575,0.09,999,84.6,1.7,17390.51953,10845,4630.740234,2018.050049
1/10/14,286231,354962.2,84.4,5.7,"-41,024",51.9,54,237.433,200,3.21,4.036,474,214.88,580.9,396.4,"1,222.49",2874.9,11538.9,105.6441,0.09,1094,86.9,1.7,17828.24023,10955.41016,4791.629883,2067.560059
1/11/14,279201,347193.7,75.79,5.8,"-39,640",59.9,58,236.151,331,3.1875,3.9975,446,215.08,579.1,327.8,"1,175.33",2886,11577.3,106.6868,0.09,994,88.8,1.3,17823.07031,10839.24023,4736.049805,2058.899902
1/12/14,294365,348016,59.29,5.6,"-43,749",53.8,58,234.812,292,3.128,3.864,492,215.49,658.3,320.9,"1,200.62",2930.2,11646.9,106.5182,0.12,1081,93.6,0.8,17164.94922,10537.21973,4635.240234,1994.98999
1/1/15,290746,336514,47.22,5.7,"-42,057",60.1,57,233.707,221,2.985,3.67,524,214.16,514.9,326.3,"1,250.75",2930.7,11706.7,105.9906,0.11,1101,98.1,-0.1,18132.69922,11062.79004,4963.529785,2104.5
1/2/15,266465,350723.3,50.58,5.5,"-36,268",56.7,55,234.722,265,3.0075,3.71,549,216.25,557.6,321.9,"1,227.08",2984.8,11803.3,105.8576,0.11,893,95.4,0,17776.11914,10899.19043,4900.879883,2067.889893
1/3/15,296531,353325,47.82,5.5,"-48,189",46.3,52,236.119,84,3.04,3.77,490,218.76,716.8,400.3,"1,178.63",2990.7,11839.2,105.515,0.11,964,93,-0.1,17840.51953,11049.74023,4941.419922,2085.51001
1/4/15,288801,363960.8,54.45,5.4,"-40,885",50.2,56,236.599,251,2.942,3.672,500,221.71,645.3,377.9,"1,198.93",2994.8,11890.9,105.2732,0.12,1192,95.9,-0.2,18010.67969,11056.29981,5070.029785,2107.389893
1/5/15,293617,363206.7,59.27,5.5,"-40,170",56.3,54,237.805,273,3.0625,3.84,507,224.79,746.8,370.8,"1,198.63",2988.6,11927.8,105.0259,0.12,1063,90.7,0,17619.50977,10805.2002,4986.870117,2063.110107
1/6/15,279588,373640.6,59.82,5.3,"-42,973",52.3,60,238.638,228,3.1925,3.9825,472,226.96,660.1,369.9,"1,181.50",3015,11975.2,104.8599,0.13,1213,96.1,0.1,17689.85938,10882.28027,5128.279785,2103.840088
1/7/15,291964,374628.1,50.9,5.3,"-39,900",52.5,60,238.654,277,3.214,4.046,498,227.98,647,309,"1,128.31",3034.2,12036.1,105.4755,0.13,1147,93.1,0.2,16528.0293,10176.5,4776.509766,1972.180054
1/8/15,290916,371183,42.87,5.1,"-44,639",53.8,61,238.316,150,3.1275,3.905,505,227.39,669.8,357.3,"1,117.93",3041.2,12100.4,105.5783,0.14,1132,91.9,0.2,16284.7002,9799.69043,4620.160156,1920.030029
1/9/15,282676,365649,45.48,5.1,"-41,072",51.2,61,237.945,149,3.095,3.89,457,227.68,597.9,360,"1,124.77",3055.5,12157.7,105.3072,0.14,1189,87.2,0,17663.53906,10460.95996,5053.75,2079.360107
1/10/15,290098,364053,46.22,5,"-41,600",56.6,65,237.838,295,3.01,3.796,478,227.71,598.5,379.4,"1,159.25",3031.8,12180.7,105.1649,0.12,1073,90,0.2,17719.91992,10409.58984,5108.669922,2080.409912
1/11/15,279132,357796.9,42.44,5,"-41,122",49.4,62,237.336,280,3.1625,3.9425,508,228.32,528.8,312,"1,086.44",3083.4,12266.3,104.4871,0.12,1171,91.3,0.5,17425.0293,10143.41992,5007.410156,2043.939941
1/12/15,285980,357455.7,37.19,5,"-41,487",52.9,60,236.525,271,3.206,3.964,538,228.21,633.4,278,"1,068.25",3079.7,12313.5,104.0452,0.24,1160,92.6,0.7,16466.30078,9632.700195,4613.950195,1940.23999
1/1/16,285002,342192.8,31.68,4.9,-43027,53.2,61,236.916,168,3.155,3.87,526,227.45,472.6,306.8,"1,097.91",3091,12436.5,104.5495,0.34,1128,92,1.4,16516.5,9559.530273,4557.950195,1932.22998
1/2/16,265253,360546.8,30.32,4.9,-45259,55.2,58,237.111,233,2.96,3.66,525,228.94,555.2,347.8,1199.5,3104,12485.2,104.414,0.38,1213,91.7,1,17685.08984,10207.37012,4869.850098,2059.73999
1/3/16,284402,366846.1,37.55,5,-36930,49,58,238.132,186,2.966,3.69,537,232.86,665.9,352.9,1245.14,3144.5,12572.7,103.4255,0.36,1113,91,0.9,17773.64063,10436.91992,4775.359863,2065.300049
1/4/16,268413,370840.6,40.75,5,-38191,51.2,58,239.261,144,2.87,3.61,570,235.18,608.4,339.2,1242.26,3176.8,12652.3,103.8385,0.37,1155,89,1.1,17787.19922,10441,4948.049805,2096.949951
1/5/16,275353,373972.4,46.71,4.7,-41835,46.9,58,240.236,24,2.8425,3.6,566,238.09,625.3,322,1260.95,3224.6,12728.8,103.6937,0.37,1128,94.7,1,17929.99023,10489.75977,4842.669922,2098.860107
1/6/16,261331,389669.5,48.76,4.9,-44719,49.3,60,241.038,271,2.842,3.57,558,240.33,604.5,382.8,1276.4,3231.1,12803.6,104.2222,0.38,1195,93.5,1,18432.24023,10785.50977,5162.129883,2173.600098
1/7/16,269491,385165.4,44.65,4.9,-39626,49.1,58,240.647,252,2.7425,3.44,622,241.59,590.7,247.3,1336.65,3225.2,12878.1,104.5225,0.39,1218,90,0.8,18400.88086,10764.75,5213.220215,2170.949951
1/8/16,271053,384718.7,44.72,4.9,-40641,53.7,59,240.853,176,2.744,3.44,559,242.09,579.9,375.5,1340.17,3312.5,12987.1,104.4351,0.4,1164,89.8,1.1,18308.15039,10721.73047,5312,2168.27002
1/9/16,257264,375497.9,45.18,4.9,-36166,53.2,65,241.428,208,2.7625,3.4975,571,242.27,555.5,343.3,1326.61,3318.1,13061.2,104.198,0.4,1052,91.2,1.5,18142.41992,10481.88965,5189.140137,2126.149902
1/10/16,273008,373717.8,49.78,4.8,-42601,51.1,63,241.729,135,2.756,3.3825,563,241.88,506.4,332.8,1266.28,3340.6,13138,104.4011,0.4,1320,87.2,1.6,18037.09961,10414.04981,5153.580078,2111.719971
